Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:64.86M (Peak 64.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.220
Fra:1 Mem:64.86M (Peak 64.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.221
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.223
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.227
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.228
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.229
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.230
Fra:1 Mem:64.87M (Peak 64.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.231
Fra:1 Mem:64.88M (Peak 64.88M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.232
Fra:1 Mem:64.88M (Peak 64.88M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.236
